TYPE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,Geocoded_Location
Request for Pothole Repair,PWDx,247 Huntington Ave  Boston  MA  02115,4,1C,7,D4,Back Bay,14,Ward 4,405,C,247 Huntington Ave,02115,42.34321,-71.08515,Citizens Connect App,"(42.34321, -71.08515)"
Request for Pothole Repair,PWDx,INTERSECTION of Columbus Ave & Isabella St  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 5,501,,INTERSECTION Columbus Ave & Isabella St,,42.315592,-71.104275,Citizens Connect App,"(42.315592, -71.104275)"
Request for Pothole Repair,BWSC,176 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,A,176 Commonwealth Ave,02116,42.35112,-71.07927,Citizens Connect App,"(42.35112, -71.07927)"
Request for Pothole Repair,PWDx,INTERSECTION of Beacon St & Massachusetts Ave  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Beacon St & Massachusetts Ave,,42.2893,-71.16429,Citizens Connect App,"(42.2893, -71.16429)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Commonwealth Ave. Underpass  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Commonwealth Ave. Underpass,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Saint Germain St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 4,406,,INTERSECTION Massachusetts Ave & Saint Germain St,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,291 Newbury St  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,RC,291 Newbury St,02115,42.349137,-71.084995,Citizens Connect App,"(42.349137, -71.084995)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Commonwealth Ave. Underpass  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Commonwealth Ave. Underpass,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,INTERSECTION of Dalton St & Scotia St  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Dalton St & Scotia St,,42.34511,-71.0742,Citizens Connect App,"(42.34511, -71.0742)"
Request for Pothole Repair,PWDx,1 Fairfield St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,R3,1 Fairfield St,02116,42.35193,-71.08352,Citizens Connect App,"(42.35193, -71.08352)"
Request for Pothole Repair,PWDx,239 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,CM,239 Commonwealth Ave,02116,42.35114,-71.08268,Citizens Connect App,"(42.35114, -71.08268)"
Request for Pothole Repair,INFO,401 Charles St  Boston  MA  02114,3,1B,8,A1,Back Bay,3,Ward 3,305,E,401 Charles St,02114,42.366182,-71.068007,Citizens Connect App,"(42.366182, -71.068007)"
Request for Pothole Repair,PWDx,119H-119 Saint Botolph St  Boston  MA  02115,4,1C,7,D4,Back Bay,14,Ward 4,405,RC,119H-119 Saint Botolph St,02115,42.344403,-71.081767,Citizens Connect App,"(42.344403, -71.081767)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Commonwealth Ave. Underpass  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Commonwealth Ave. Underpass,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Commonwealth Ave. Underpass  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Commonwealth Ave. Underpass,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,129 Newbury St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,C,129 Newbury St,02116,42.35137,-71.07679,Citizens Connect App,"(42.35137, -71.07679)"
Request for Pothole Repair,PWDx,INTERSECTION of Exeter St & Marlborough St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,508,,INTERSECTION Exeter St & Marlborough St,,42.28845,-71.06536,Citizens Connect App,"(42.28845, -71.06536)"
Request for Pothole Repair,PWDx,8 Fairfield St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,R4,8 Fairfield St,02116,42.35205,-71.08309,Citizens Connect App,"(42.35205, -71.08309)"
Request for Pothole Repair,PWDx,325-327 Newbury St  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,C,325-327 Newbury St,02115,42.348797,-71.086229,Citizens Connect App,"(42.348797, -71.086229)"
Request for Pothole Repair,PWDx,159 Newbury St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,CM,159 Newbury St,02116,42.35087,-71.07863,Citizens Connect App,"(42.35087, -71.07863)"
Request for Pothole Repair,PWDx,INTERSECTION of Back St & Harvard Brg  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Back St & Harvard Brg,,42.288107,-71.055032,Citizens Connect App,"(42.288107, -71.055032)"
Request for Pothole Repair,INFO,INTERSECTION of Beacon St & Massachusetts Ave  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Beacon St & Massachusetts Ave,,42.2893,-71.16429,Citizens Connect App,"(42.2893, -71.16429)"
Request for Pothole Repair,INFO,14 Hereford St  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,CM,14 Hereford St,02115,42.35111,-71.08661,Citizens Connect App,"(42.35111, -71.08661)"
Request for Pothole Repair,PWDx,415 Commonwealth Ave  Boston  MA  02215,4,10A,8,D4,Back Bay,14,Ward 5,509,A,415 Commonwealth Ave,02215,42.349461,-71.091303,Citizens Connect App,"(42.349461, -71.091303)"
Request for Pothole Repair,PWDx,110 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,05,507,E,110 Commonwealth Ave,02116,42.351926,-71.076252,Citizens Connect App,"(42.351926, -71.076252)"
Request for Pothole Repair,PWDx,118 Huntington Ave  Boston  MA  02116,4,1C,2,D4,Back Bay,6,Ward 4,402,A,118 Huntington Ave,02116,42.3461,-71.08033,Citizens Connect App,"(42.3461, -71.08033)"
Request for Pothole Repair,PWDx,1 Cumberland St  Boston  MA  02115,4,1C,7,D4,Back Bay,14,Ward 4,405,A,1 Cumberland St,02115,42.34391,-71.08275,Citizens Connect App,"(42.34391, -71.08275)"
Request for Pothole Repair,PWDx,92 Marlborough St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,506,A,92 Marlborough St,02116,42.35333,-71.0763,Citizens Connect App,"(42.35333, -71.0763)"
Request for Pothole Repair,PWDx,205 Dartmouth St  Boston  MA  02116,4,1C,2,D4,Back Bay,6,Ward 4,402,C,205 Dartmouth St,02116,42.34931,-71.07602,Citizens Connect App,"(42.34931, -71.07602)"
Request for Pothole Repair,PWDx,34 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,506,CM,34 Commonwealth Ave,02116,42.35287,-71.07286,Citizens Connect App,"(42.35287, -71.07286)"
Request for Pothole Repair,PWDx,10 Huntington Ave  Boston  MA  02116,4,1C,2,D4,Back Bay,6,Ward 4,402,C,10 Huntington Ave,02116,42.348545,-71.077314,Citizens Connect App,"(42.348545, -71.077314)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Saint Stephen St  Boston  MA,4,1C,7,D4,Back Bay,14,Ward 4,405,,INTERSECTION Massachusetts Ave & Saint Stephen St,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,INTERSECTION of Saint James Ave & Trinity Pl  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Saint James Ave & Trinity Pl,,42.38561,-71.00069,Citizens Connect App,"(42.38561, -71.00069)"
Request for Pothole Repair,PWDx,INTERSECTION of Commonwealth Ave & Fairfield St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,508,,INTERSECTION Commonwealth Ave & Fairfield St,,42.320992,-71.099495,Citizens Connect App,"(42.320992, -71.099495)"
Request for Pothole Repair,PWDx,363 Beacon St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,CM,363 Beacon St,02116,42.35207,-71.08403,Citizens Connect App,"(42.35207, -71.08403)"
Request for Pothole Repair,PWDx,INTERSECTION of Berkeley St & Columbus Ave  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 5,501,,INTERSECTION Berkeley St & Columbus Ave,,42.27806,-71.09977,Citizens Connect App,"(42.27806, -71.09977)"
Request for Pothole Repair,PWDx,290A-290 Beacon St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,CM,290A-290 Beacon St,02116,42.353221,-71.081869,Citizens Connect App,"(42.353221, -71.081869)"
Request for Pothole Repair,PWDx,322 Commonwealth Ave  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,A,322 Commonwealth Ave,02115,42.34922,-71.08645,Citizens Connect App,"(42.34922, -71.08645)"
Request for Pothole Repair,PWDx,INTERSECTION of Back St & Dartmouth St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,507,,INTERSECTION Back St & Dartmouth St,,42.28758,-71.05513,Citizens Connect App,"(42.28758, -71.05513)"
Request for Pothole Repair,PWDx,INTERSECTION of Dartmouth St & Newbury St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,507,,INTERSECTION Dartmouth St & Newbury St,,42.34517,-71.07517,Citizens Connect App,"(42.34517, -71.07517)"
Request for Pothole Repair,PWDx,INTERSECTION of Columbus Ave & Isabella St  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 5,501,,INTERSECTION Columbus Ave & Isabella St,,42.315592,-71.104275,Citizens Connect App,"(42.315592, -71.104275)"
Request for Pothole Repair,PWDx,INTERSECTION of Clarendon St & Commonwealth Ave  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,507,,INTERSECTION Clarendon St & Commonwealth Ave,,42.25416,-71.14277,Citizens Connect App,"(42.25416, -71.14277)"
Request for Pothole Repair,PWDx,INTERSECTION of Saint James Ave & Trinity Pl  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Saint James Ave & Trinity Pl,,42.38561,-71.00069,Citizens Connect App,"(42.38561, -71.00069)"
Request for Pothole Repair,INFO,INTERSECTION of Back St & Berkeley St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,506,,INTERSECTION Back St & Berkeley St,,42.28747,-71.05505,Citizens Connect App,"(42.28747, -71.05505)"
Request for Pothole Repair,PWDx,INTERSECTION of Exeter St & Huntington Ave  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Exeter St & Huntington Ave,,42.28855,-71.06507,Citizens Connect App,"(42.28855, -71.06507)"
Request for Pothole Repair,PWDx,INTERSECTION of Back St & Harvard Brg  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Back St & Harvard Brg,,42.288107,-71.055032,Citizens Connect App,"(42.288107, -71.055032)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Commonwealth Ave. Underpass  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Commonwealth Ave. Underpass,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,11A Newbury St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,506,C,11A Newbury St,02116,42.35268,-71.07199,Citizens Connect App,"(42.35268, -71.07199)"
Request for Pothole Repair,PWDx,INTERSECTION of Columbus Ave & Isabella St  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 5,501,,INTERSECTION Columbus Ave & Isabella St,,42.315592,-71.104275,Citizens Connect App,"(42.315592, -71.104275)"
Request for Pothole Repair,PWDx,225 Massachusetts Ave  Boston  MA  02115,4,10A,7,D4,Back Bay,14,Ward 4,405,RC,225 Massachusetts Ave,02115,42.34437,-71.08675,Citizens Connect App,"(42.34437, -71.08675)"
Request for Pothole Repair,PWDx,INTERSECTION of Hawthorne Pl & William Cardinal O'Connell Way  Boston  MA,3,1B,8,A1,Back Bay,3,Ward 3,305,,INTERSECTION Hawthorne Pl & William Cardinal O'Connell Way,,42.34244,-71.05509,Citizens Connect App,"(42.34244, -71.05509)"
Request for Pothole Repair,PWDx,INTERSECTION of Stuart St & Clarendon Sq  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Stuart St & Clarendon Sq,,42.377909,-71.062875,Citizens Connect App,"(42.377909, -71.062875)"
Request for Pothole Repair,PWDx,70 William Cardinal O'Connell Way  Boston  MA  02114,3,1B,8,A1,Back Bay,3,Ward 3,305,E,70 William Cardinal O'Connell Way,02114,42.36318,-71.065694,Citizens Connect App,"(42.36318, -71.065694)"
Request for Pothole Repair,PWDx,31 Fairfield St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,R2,31 Fairfield St,02116,42.34997,-71.08253,Citizens Connect App,"(42.34997, -71.08253)"
Request for Pothole Repair,PWDx,INTERSECTION of Harcourt St & Huntington Ave  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Harcourt St & Huntington Ave,,42.28004,-71.08733,Citizens Connect App,"(42.28004, -71.08733)"
Request for Pothole Repair,PWDx,15 Cortes St  Boston  MA  02116,4,1C,2,A1,Back Bay,6,Ward 5,501,A,15 Cortes St,02116,42.348394,-71.070256,Citizens Connect App,"(42.348394, -71.070256)"
Request for Pothole Repair,PWDx,INTERSECTION of Berkeley St & Public Alley No. 437  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,506,,INTERSECTION Berkeley St & Public Alley No. 437,,42.27861,-71.09965,Citizens Connect App,"(42.27861, -71.09965)"
Request for Pothole Repair,PWDx,372-378 Stuart St  Boston  MA  02116,4,1C,2,D4,Back Bay,6,Ward 4,402,RC,372-378 Stuart St,02116,42.349048,-71.07296,Citizens Connect App,"(42.349048, -71.07296)"
Request for Pothole Repair,PWDx,INTERSECTION of Huntington Ave & Massachusetts Ave  Boston  MA,4,1C,7,D4,Back Bay,14,Ward 4,405,,INTERSECTION Huntington Ave & Massachusetts Ave,,42.30709,-71.11596,Citizens Connect App,"(42.30709, -71.11596)"
Request for Pothole Repair,PWDx,176 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,A,176 Commonwealth Ave,02116,42.35112,-71.07927,Citizens Connect App,"(42.35112, -71.07927)"
Request for Pothole Repair,PWDx,INTERSECTION of Back St & James J Storrow Memorial Dr  Boston  MA,3,1C,8,D4,Back Bay,14,Ward 5,505,,INTERSECTION Back St & James J Storrow Memorial Dr,,42.28774,-71.05469,Citizens Connect App,"(42.28774, -71.05469)"
Request for Pothole Repair,PWDx,411 Marlborough St  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,CM,411 Marlborough St,02115,42.350312,-71.088985,Citizens Connect App,"(42.350312, -71.088985)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Commonwealth Ave. Underpass  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Commonwealth Ave. Underpass,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,INTERSECTION of Hereford St & Marlborough St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Hereford St & Marlborough St,,42.31808,-71.10078,Citizens Connect App,"(42.31808, -71.10078)"
Request for Pothole Repair,PWDx,INTERSECTION of Huntington Ave & Massachusetts Ave  Boston  MA,4,1C,7,D4,Back Bay,14,Ward 4,405,,INTERSECTION Huntington Ave & Massachusetts Ave,,42.30709,-71.11596,Citizens Connect App,"(42.30709, -71.11596)"
Request for Pothole Repair,PWDx,371 Commonwealth Ave  Boston  MA  02215,4,10A,8,D4,Back Bay,14,Ward 5,509,RC,371 Commonwealth Ave,02215,42.349468,-71.089075,Citizens Connect App,"(42.349468, -71.089075)"
Request for Pothole Repair,PWDx,INTERSECTION of Berkeley St & Columbus Ave  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 5,501,,INTERSECTION Berkeley St & Columbus Ave,,42.27806,-71.09977,Citizens Connect App,"(42.27806, -71.09977)"
Request for Pothole Repair,PWDx,INTERSECTION of Huntington Ave & Clarendon Sq  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Huntington Ave & Clarendon Sq,,42.30721,-71.11605,Citizens Connect App,"(42.30721, -71.11605)"
Request for Pothole Repair,PWDx,INTERSECTION of Huntington Ave & Massachusetts Ave  Boston  MA,4,1C,7,D4,Back Bay,14,Ward 4,405,,INTERSECTION Huntington Ave & Massachusetts Ave,,42.30709,-71.11596,Citizens Connect App,"(42.30709, -71.11596)"
Request for Pothole Repair,PWDx,355 Commonwealth Ave  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,RC,355 Commonwealth Ave,02115,42.349569,-71.088548,Citizens Connect App,"(42.349569, -71.088548)"
Request for Pothole Repair,PWDx,140 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,CM,140 Commonwealth Ave,02116,42.351641,-71.077451,Citizens Connect App,"(42.351641, -71.077451)"
Request for Pothole Repair,INFO,INTERSECTION of Charlesbank Rd & Longfellow Brg  Boston  MA,3,1B,8,A1,Back Bay,3,Ward 3,305,,INTERSECTION Charlesbank Rd & Longfellow Brg,,42.359963,-71.122623,Citizens Connect App,"(42.359963, -71.122623)"
Request for Pothole Repair,INFO,INTERSECTION of Charles St & Leverett Cir  Boston  MA,3,1B,8,A1,Back Bay,3,Ward 3,305,,INTERSECTION Charles St & Leverett Cir,,42.28099,-71.09825,Citizens Connect App,"(42.28099, -71.09825)"
Request for Pothole Repair,PWDx,INTERSECTION of Dalton St & Ring Rd  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 4,406,,INTERSECTION Dalton St & Ring Rd,,42.34511,-71.0742,Citizens Connect App,"(42.34511, -71.0742)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Public Alley No. 429  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Public Alley No. 429,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,32 Clearway St  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 4,406,A,32 Clearway St,02115,42.34538,-71.0855,Citizens Connect App,"(42.34538, -71.0855)"
Request for Pothole Repair,PWDx,252 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,CM,252 Commonwealth Ave,02116,42.35015,-71.08297,Citizens Connect App,"(42.35015, -71.08297)"
Request for Pothole Repair,PWDx,INTERSECTION of Commonwealth Ave & Commonwealth Ave. Underpass  Boston  MA,4,10A,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Commonwealth Ave & Commonwealth Ave. Underpass,,42.310635,-71.106478,Citizens Connect App,"(42.310635, -71.106478)"
Request for Pothole Repair,PWDx,18 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,506,A,18 Commonwealth Ave,02116,42.35301,-71.07232,Citizens Connect App,"(42.35301, -71.07232)"
Request for Pothole Repair,PWDx,16 Brimmer St  Boston  MA  02108,3,1B,8,A1,Back Bay,14,Ward 5,505,CM,16 Brimmer St,02108,42.35828,-71.07151,Citizens Connect App,"(42.35828, -71.07151)"
Request for Pothole Repair,PWDx,330 Commonwealth Ave  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,RC,330 Commonwealth Ave,02115,42.34914,-71.0868,Citizens Connect App,"(42.34914, -71.0868)"
Request for Pothole Repair,PWDx,103 Beacon St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,506,CM,103 Beacon St,02116,42.35506,-71.07288,Citizens Connect App,"(42.35506, -71.07288)"
Request for Pothole Repair,PWDx,INTERSECTION of Back St & Berkeley St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,506,,INTERSECTION Back St & Berkeley St,,42.28747,-71.05505,Citizens Connect App,"(42.28747, -71.05505)"
Request for Pothole Repair,INFO,INTERSECTION of Back St & Harvard Brg  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Back St & Harvard Brg,,42.288107,-71.055032,Citizens Connect App,"(42.288107, -71.055032)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Saint Germain St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 4,406,,INTERSECTION Massachusetts Ave & Saint Germain St,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Commonwealth Ave. Underpass  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Commonwealth Ave. Underpass,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,INTERSECTION of Stuart St & Clarendon Sq  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Stuart St & Clarendon Sq,,42.377909,-71.062875,Citizens Connect App,"(42.377909, -71.062875)"
Request for Pothole Repair,PWDx,175 Berkeley St  Boston  MA  02116,4,1C,2,D4,Back Bay,6,Ward 5,501,C,175 Berkeley St,02116,42.35006,-71.07208,Citizens Connect App,"(42.35006, -71.07208)"
Request for Pothole Repair,PWDx,53 Huntington Ave  Boston  MA  02199,4,1C,2,D4,Back Bay,6,04,402,C,53 Huntington Ave,02199,42.347446,-71.079716,Citizens Connect App,"(42.347446, -71.079716)"
Request for Pothole Repair,PWDx,199 Beacon St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,506,A,199 Beacon St,02116,42.35406,-71.07662,Citizens Connect App,"(42.35406, -71.07662)"
Request for Pothole Repair,PWDx,INTERSECTION of Commonwealth Ave & Exeter St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,507,,INTERSECTION Commonwealth Ave & Exeter St,,42.320812,-71.09904,Citizens Connect App,"(42.320812, -71.09904)"
Request for Pothole Repair,PWDx,229 Berkeley St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,506,C,229 Berkeley St,02116,42.35163,-71.07305,Citizens Connect App,"(42.35163, -71.07305)"
Request for Pothole Repair,PWDx,160 Saint Botolph St  Boston  MA  02115,4,1C,7,D4,Back Bay,14,Ward 4,405,R4,160 Saint Botolph St,02115,42.34298,-71.08284,Citizens Connect App,"(42.34298, -71.08284)"
Request for Pothole Repair,INFO,INTERSECTION of David G Mugar Way & W Hill Pl  Boston  MA,3,1B,8,A1,Back Bay,14,Ward 5,511,,INTERSECTION David G Mugar Way & W Hill Pl,,42.34466,-71.07569,Citizens Connect App,"(42.34466, -71.07569)"
Request for Pothole Repair,PWDx,INTERSECTION of Exeter St & Public Alley No. 434  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,508,,INTERSECTION Exeter St & Public Alley No. 434,,42.3594,-71.0587,Citizens Connect App,"(42.3594, -71.0587)"
Request for Pothole Repair,PWDx,213 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,A,213 Commonwealth Ave,02116,42.35146,-71.08155,Citizens Connect App,"(42.35146, -71.08155)"
Request for Pothole Repair,PWDx,INTERSECTION of Beacon St & Massachusetts Ave  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Beacon St & Massachusetts Ave,,42.2893,-71.16429,Citizens Connect App,"(42.2893, -71.16429)"
Request for Pothole Repair,PWDx,106 Marlborough St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,CM,106 Marlborough St,02116,42.35315,-71.07673,Citizens Connect App,"(42.35315, -71.07673)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Commonwealth Ave. Underpass  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Commonwealth Ave. Underpass,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,PWDx,106 Marlborough St  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,CM,106 Marlborough St,02116,42.35315,-71.07673,Citizens Connect App,"(42.35315, -71.07673)"
Request for Pothole Repair,PWDx,10 Huntington Ave  Boston  MA  02116,4,1C,2,D4,Back Bay,6,Ward 4,402,C,10 Huntington Ave,02116,42.348545,-71.077314,Citizens Connect App,"(42.348545, -71.077314)"
Request for Pothole Repair,PWDx,INTERSECTION of Boylston St & Dalton St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Boylston St & Dalton St,,42.358845,-71.135474,Citizens Connect App,"(42.358845, -71.135474)"
Request for Pothole Repair,PWDx,155 Massachusetts Ave  Boston  MA  02115,4,10A,7,D4,Back Bay,14,Ward 4,405,C,155 Massachusetts Ave,02115,42.34642,-71.08758,Citizens Connect App,"(42.34642, -71.08758)"
Request for Pothole Repair,PWDx,500 Boylston St  Boston  MA  02116,4,1C,2,D4,Back Bay,6,Ward 4,402,C,500 Boylston St,02116,42.35053,-71.0739,Citizens Connect App,"(42.35053, -71.0739)"
Request for Pothole Repair,PWDx,123 Saint Botolph St  Boston  MA  02115,4,1C,7,D4,Back Bay,14,Ward 4,405,CM,123 Saint Botolph St,02115,42.34429,-71.08187,Citizens Connect App,"(42.34429, -71.08187)"
Request for Pothole Repair,PWDx,172 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,A,172 Commonwealth Ave,02116,42.35118,-71.07912,Citizens Connect App,"(42.35118, -71.07912)"
Request for Pothole Repair,PWDx,INTERSECTION of Massachusetts Ave & Newbury St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Massachusetts Ave & Newbury St,,42.353067,-71.062842,Citizens Connect App,"(42.353067, -71.062842)"
Request for Pothole Repair,INFO,INTERSECTION of Back St & Dartmouth St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,507,,INTERSECTION Back St & Dartmouth St,,42.28758,-71.05513,Citizens Connect App,"(42.28758, -71.05513)"
Request for Pothole Repair,PWDx,INTERSECTION of Staniford St & William Cardinal O'Connell Way  Boston  MA,3,1B,8,A1,Back Bay,3,Ward 3,305,,INTERSECTION Staniford St & William Cardinal O'Connell Way,,42.37759,-71.06221,Citizens Connect App,"(42.37759, -71.06221)"
Request for Pothole Repair,PWDx,INTERSECTION of Stuart St & Clarendon Sq  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Stuart St & Clarendon Sq,,42.377909,-71.062875,Citizens Connect App,"(42.377909, -71.062875)"
Request for Pothole Repair,PWDx,INTERSECTION of Exeter St & Marlborough St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,508,,INTERSECTION Exeter St & Marlborough St,,42.28845,-71.06536,Citizens Connect App,"(42.28845, -71.06536)"
